Date,Open,High,Low,Close,Adj Close,Volume,ret_1,mom_5,vol_20,volchg_10,rsi_14,target_5d_fwd_ret
2010-02-02,37.8081,38.1995,37.5456,38.084,38.084,126902078,0.00913104076906368,-0.015813044792859166,0.012627663904507562,-0.332830031144125,35.24826551073444,-0.0122833735952107
2010-02-03,37.9028,38.3611,37.8864,38.2936,38.2936,107262510,0.005503623568952731,-0.018075054168750104,0.012755533227185133,-0.4178014351819517,38.18696653506982,-0.019888440888294667
2010-02-04,38.0096,38.089,37.1836,37.1836,37.1836,173716140,-0.028986566945912617,-0.021329683634258023,0.014039739827827915,-0.024708204648135945,30.335201913636425,0.02469637151862658
2010-02-05,37.2804,37.531,36.7498,37.4958,37.4958,244854698,0.008396174657644861,0.004277361588382211,0.014275884163266868,0.33807936158345253,34.41953547647188,0.01812202966732257
2010-02-08,37.436,37.673,37.202,37.2284,37.2284,108144013,-0.007131465390790459,-0.013540225864746236,0.014027584979107305,-0.38599033569321584,32.65368777691508,0.03879027838961657
2010-02-09,37.673,37.9618,37.3078,37.6162,37.6162,136340388,0.01041677858838952,-0.0122833735952107,0.014405900618971726,-0.21472662229390915,37.64964013991846,0.033565325577809446
2010-02-10,37.6142,37.7864,37.2979,37.532,37.532,107860585,-0.0022383972862756174,-0.019888440888294667,0.014258113260301571,-0.3497709293869865,37.007713073715934,0.0426968986464884
2010-02-11,37.5456,38.2093,37.3108,38.1019,38.1019,106641895,0.01518437599914746,0.02469637151862658,0.01443734319938745,-0.2945335520806728,43.970924236108225,0.026589225209241674
2010-02-12,37.7581,38.2807,37.6524,38.1753,38.1753,107679198,0.001926413118505943,0.01812202966732257,0.014454018706118283,-0.21758921944428355,44.817000630329,0.02243073400863893
2010-02-16,38.456,38.6959,38.2564,38.6725,38.6725,96121306,0.013024128166641669,0.03879027838961657,0.014711451822513882,-0.269329994156977,50.29265957680521,-0.0037985648716788445
2010-02-17,38.8319,38.8788,38.6137,38.8788,38.8788,94789727,0.0053345400478375105,0.033565325577809446,0.014207292870051274,-0.26142313815955653,52.40305091270234,0.0009130940255357434
2010-02-18,38.8565,39.2031,38.78,39.1345,39.1345,75361153,0.006576849079704239,0.0426968986464884,0.014023285313693136,-0.3978377558792714,54.95574103750839,-0.005877167205407097
2010-02-19,39.0236,39.3049,38.9281,39.115,39.115,92168890,-0.0004982815674149377,0.026589225209241674,0.013884665913647535,-0.21220602395144927,54.7147438802253,-0.0016234181260387226
2010-02-22,39.2666,39.2851,38.8731,39.0316,39.0316,82589354,-0.002132174357663441,0.02243073400863893,0.012168153585827903,-0.18041440788597596,53.63147879371011,0.014905871140306948
2010-02-23,39.0044,39.0286,38.3405,38.5256,38.5256,109831214,-0.012963854927802054,-0.0037985648716788445,0.012521299620139668,0.08810170911119619,47.48838776763324,0.031433644122349946
2010-02-24,38.7272,39.0757,38.6695,38.9143,38.9143,99257382,0.010089395103515697,0.0009130940255357434,0.012727024851501524,0.020850664734271218,52.033588945848905,0.022279727503771163
2010-02-25,38.5069,38.9965,38.2368,38.9045,38.9045,112291507,-0.00025183544352591625,-0.005877167205407097,0.012605380282226979,0.14966592675888246,51.91158937513496,0.02608952691847999
2010-02-26,38.8995,39.1403,38.737,39.0515,39.0515,75903230,0.0037784832088831877,-0.0016234181260387226,0.011071209977473323,-0.19763430459605713,53.66646327624945,0.03747103184256706
2010-03-01,39.2214,39.6817,39.2146,39.6134,39.6134,88598654,0.014388691855626634,0.014905871140306948,0.01050057384197634,-0.0441529061963144,59.717724095646794,0.02482745737553449
2010-03-02,39.7533,40.0017,39.6492,39.7366,39.7366,87535783,0.0031100587175048044,0.031433644122349946,0.01034009221527235,-0.04679059742314384,60.922788732723404,0.027221755258376445
2010-03-03,39.8363,39.9754,39.6336,39.7813,39.7813,75345966,0.0011249075159927013,0.022279727503771163,0.01022966767566365,-0.16178240269639144,61.374285214425186,0.034385502736210105
2010-03-04,39.812,39.9705,39.6115,39.9195,39.9195,62429624,0.0034739940625367893,0.02608952691847999,0.010205548998481527,-0.29533821353067957,62.80515071979073,0.034870176229662375
2010-03-05,40.2123,40.6019,40.1223,40.5148,40.5148,78098576,0.01491251142925143,0.03747103184256706,0.007531020984728221,-0.10425218552401783,68.25956029633934,0.019884091739315046
2010-03-08,40.5344,40.6929,40.5168,40.5969,40.5969,67293698,0.0020264199749226997,0.02482745737553449,0.007484380737763526,-0.21439614057314438,68.93612986995004,0.015144013459155836
2010-03-09,40.503,41.0454,40.4766,40.8183,40.8183,112336458,0.005453618379728464,0.027221755258376445,0.007012757929546749,0.30762019335514346,70.74700696176944,0.016186367389136702
2010-03-10,40.8448,41.245,40.826,41.1492,41.1492,117584775,0.008106658043083526,0.034385502736210105,0.0069310961194059455,0.3401222528223373,73.25633886218688,0.010629611268262673
2010-03-11,41.0571,41.3115,40.9895,41.3115,41.3115,77379097,0.003944183605027574,0.034870176229662375,0.006749229217973553,-0.08156013409620655,74.41556985582075,0.010188446316400812
2010-03-12,41.4417,41.4673,41.0934,41.3204,41.3204,73433578,0.00021543637970045104,0.019884091739315046,0.006359332296603784,-0.1258284200937344,74.48089355301043,0.003838297789953593
