Model,R2,MAE,Rank IC (Spearman),Strategy CAGR,Sharpe,Max Drawdown
LightGBM,-0.04090643010696349,0.020594920697770695,0.0895318027823168,0.2954609096804699,1.5180744463520375,-0.21331813711590852
LinearRegression,0.000266494998084954,0.02041615392689336,0.10410730101953598,0.23421377091988616,1.339388103895119,-0.21794306635965
RandomForest,0.03270024218209444,0.020054301209172738,0.12215174646439747,0.2263266088170659,1.3389744464104258,-0.16832399693951583
